group,code,description,price_1,price_2,price_3
SCREENING - SLAT EXTRUSIONS,PRODUCT CODE,DESCRIPTION,UNIT PRICE,,
SCREENING - SLAT EXTRUSIONS,AW-5800-GB65-KWI,Alumawood - 65 x 16.5mm Slat GATE BLADE (with 2 x screw flutes & centre web) - 5800mm long - KWILA,63.9,60.69,58.78
SCREENING - SLAT EXTRUSIONS,AW-5800-GB65-WRC,Alumawood - 65 x 16.5mm Slat GATE BLADE (with 2 x screw flutes & centre web) - 5800mm long  WESTERN RED CEDAR,63.9,60.69,58.78
SCREENING - SLAT EXTRUSIONS,AW-5800-S65-KWI,Alumawood - 65 x 16.5mm SLAT (with centre web)  - 5800mm long KWILA,50.49,47.96,45.96
SCREENING - SLAT EXTRUSIONS,AW-5800-S65-WRC,Alumawood - 65 x 16.5mm SLAT (with centre web)  - 5800mm long WESTERN RED CEDAR,50.49,47.96,45.96
SCREENING - SLAT EXTRUSIONS,AWQS-5800-S90-WRC,Alumawood - 90 x 16.5mm SLAT - (with centre web) - 5800mm long - WESTERN RED CEDAR,64.72,60.84,56.95
SCREENING - SLAT EXTRUSIONS,CTS,Cut To Size Screen - Summary: <COPY Screen sizes from Order Form>,,,
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-B,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - BLACK SATIN (GN150A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-BS,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - BASALT SATIN (GP108A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-D,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - DUNE SATIN (GP152A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-G,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - WOODLAND GREY MATT (GL205A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-M,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - MILL,41.69,39.05,35.09
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-MN,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - MONUMENT MATT (GL229A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-P,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - PRIMROSE (GD037A),50.49,41.9,39.9
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-PB,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - PAPERBARK (GU114A),50.49,41.9,39.9
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-S,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - PALLADIUM SILVER PEARL (GY184C),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-SM,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - SURFMIST MATT (GA236A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,QS-6100-S90-W,QuickScreen - 90 x 16.5mm SLAT - (with centre web) - 6100mm long - PEARL WHITE GLOSS (GA078A),50.49,46.09,43.89
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-B,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - BLACK SATIN (GN150A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-BS,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - BASALT SATIN (GP108A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-D,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - DUNE SATIN (GP152A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-G,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - WOODLAND GREY MATT (GL205A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-M,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - MILL,47.05,43.27,41.4
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-MN,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - MONUMENT MATT (GL229A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-PB,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - PAPERBARK (GU114A),50.33,46.3,44.29
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-S,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - PALLADIUM SILVER PEARL (GY184C),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-SM,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - SURFMIST MATT (GA236A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-GB65-W,XPRESS Screening - 65 x 16mm Slat GATE BLADE - (with 2 x screw flutes & centre web) - 6100mm long - PEARL WHITE GLOSS (GA078A),55.36,50.93,48.72
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-B,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - BLACK SATIN (GN150A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-BS,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - BASALT SATIN (GP108A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-D,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - DUNE SATIN (GP152A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-G,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - WOODLAND GREY MATT (GL205A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-M,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - MILL,29.59,28.05,26.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-MN,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - MONUMENT MATT (GL229A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-P,"XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - PRIMROSE (GD037A)  (**  available from PERTH, BRISBANE and ADELAIDE depots)",37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-PB,"XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - PAPERBARK (GU114A)  (**  available from PERTH, BRISBANE and ADELAIDE depots)",37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-S,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - PALLADIUM SILVER PEARL (GY184C),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-SM,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - SURFMIST MATT (GA236A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6100-S65-W,XPRESS Screening - 65 x 16.5mm SLAT - (with centre web) - 6100mm long - PEARL WHITE GLOSS (GA078A),37.29,34.65,32.95
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-B,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - BLACK SATIN (GN150A) [sold in pack lots of 96 slats],32.85,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-BS,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - BASALT (GP108A) [sold in pack lots of 96 slats],32.85,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-D,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - DUNE (GP152A) [sold in pack lots of 96 slats],32.85,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-G,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - WOODLAND GREY MATT (GL205A) [sold in pack lots of 96 slats],32.85,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-M,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long  MILL FINISH [sold in pack lots of 96 slats],25.28,,
SCREENING - SLAT EXTRUSIONS,XP-6500-E65-MN,XPRESS Screening - 65 x 16.5mm ECONO SLAT - (no centre web; 1.2mm wall) - 6500mm long - MONUMENT MATT (GL229A) [sold in pack lots of 96 slats],32.85,,
